Thématiques 2628,Numéro de dépôt,Public concerné,Contexte,Format (ANDPC),Typologie de formation,Type d'EPP,Durée totale,Prise en charge,Indemnités PS,Formateur(s),ODPC,Commercialisation,U1 - Typologie,U1 - Format,U1 - Nb d'heure(s) total,U2 - Typologie,U2 - Format,U2 - Nb d'heure(s) total,U3 - Typologie,U3 - Format,U3 - Nb d'heure(s) total,Fiche mémo pdf
Avancées et innovation des implants intraoculaires en chirurgie cristallinienne (https://www.notion.so/Avanc-es-et-innovation-des-implants-intraoculaires-en-chirurgie-cristallinienne-2081e0168e708062a4afe74004478e5c?pvs=21),94632425336,Ophtalmologie (https://www.notion.so/Ophtalmologie-9c7c61a4ec3048f39667de6a90abd6ae?pvs=21),"L'innovation technologique joue un rôle crucial dans l'évolution de la pratique chirurgicale ophtalmologique, en particulier dans le domaine des implants intraoculaires. Ces dispositifs ont considérablement progressé, offrant aux patients des options améliorées pour corriger la presbytie, améliorer la vision intermédiaire et réduire la dépendance aux lunettes après une chirurgie de la cataracte ou réfractive. Les implants à profondeur de champ étendue (EDOF) et les implants multifocaux sont des exemples notables de ces innovations. 
Cependant, la diversité des technologies disponibles et la complexité de leur fonctionnement nécessitent une mise à jour continue des connaissances et compétences des médecins ophtalmologues pour optimiser les résultats chirurgicaux et le confort visuel des patients.",E-learning,PI,AC,11,"589,00 €","157,50 €",Camille RAMBAUD  (https://www.notion.so/Camille-RAMBAUD-466dca5303654430984a9cb85bf54ec7?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Indications et contre-indications de la chirurgie de la cataracte liée à l'âge (https://www.notion.so/Indications-et-contre-indications-de-la-chirurgie-de-la-cataracte-li-e-l-ge-2081e0168e7080b8b065ec18abf43a89?pvs=21),94632425340,Ophtalmologie (https://www.notion.so/Ophtalmologie-9c7c61a4ec3048f39667de6a90abd6ae?pvs=21),"La chirurgie de la cataracte liée à l'âge est une intervention courante qui vise à améliorer la vision des patients dont la qualité de vie est altérée par l'opacification du cristallin. Avec le vieillissement de la population, le nombre de chirurgies de la cataracte augmente, rendant crucial le respect des recommandations de bonne pratique pour garantir la sécurité et l'efficacité des soins. Les recommandations de la Haute Autorité de Santé (HAS) et d'autres organismes internationaux fournissent des directives précises sur les indications et contre-indications de cette intervention. Cette formation est conçue spécifiquement pour les médecins ophtalmologues afin de les aider à intégrer ces recommandations dans leur pratique quotidienne, améliorer la pertinence des soins et la satisfaction des patients.",E-learning,PI,AC,11,"589,00 €","157,50 €",Maxime DELBARRE  (https://www.notion.so/Maxime-DELBARRE-9585f4ddc3ab48879e279b67cc47efa3?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Prise en charge diagnostique et thérapeutique des BAV (blocs auriculo-ventriculaires) (https://www.notion.so/Prise-en-charge-diagnostique-et-th-rapeutique-des-BAV-blocs-auriculo-ventriculaires-2091e0168e7080db8a48f4e86f3d8950?pvs=21),94632525385,Médecine cardiovasculaire (https://www.notion.so/M-decine-cardiovasculaire-1e3ff6f1b7514325ab28d32cc9400a9f?pvs=21),"Les blocs auriculo-ventriculaires (BAV) constituent une pathologie fréquente et potentiellement grave dans la prise en charge des troubles du rythme cardiaque. Ils sont responsables d’un nombre significatif d’hospitalisations en urgence, représentant une proportion non négligeable des admissions pour bradycardies ou syncope. Les BAV sont classés selon leur degré de gravité, allant des formes bénignes, comme le BAV de premier degré, à des formes plus sévères, telles que les BAV du second degré Mobitz II ou complets. Ces derniers sont souvent associés à des risques hémodynamiques importants, notamment une intolérance à la bradycardie et une augmentation du risque de mort subite si non traités rapidement.
D’un point de vue épidémiologique, les troubles conductifs cardiaques, y compris les BAV, touchent de façon disproportionnée les populations âgées en raison des modifications dégénératives du tissu de conduction. Chez ces patients, des facteurs comme la fibrose idiopathique, l’ischémie myocardique ou l’utilisation de certains médicaments (notamment les bêta-bloquants et les digitaliques) contribuent à leur survenue. Bien que les BAV symptomatiques soient rares chez les adultes jeunes, ils restent une cause notable de consultation dans cette tranche d’âge, souvent associés à des maladies congénitales ou infectieuses.
La mortalité liée aux BAV de haut grade est élevée en l’absence d’intervention appropriée. Ces pathologies peuvent engendrer une bradycardie extrême, pouvant entraîner la survenue d’une syncope, voire d’un arrêt cardiaque.
Par ailleurs, l’évolution des approches diagnostiques et thérapeutiques a permis des avancées significatives dans la prise en charge des BAV. La disponibilité de technologies telles que les stimulateurs cardiaques, y compris les modèles “sans sonde”, ainsi que l'amélioration des algorithmes diagnostiques (basés sur le monitoring ECG invasif et non invasif), ont transformé les pratiques. Ces progrès sont toutefois complexes à intégrer en routine clinique et nécessitent une formation ciblée, notamment en lien avec les recommandations de l’European Society of Cardiology (ESC) de 2021.
Face à cette complexité, cette formation s’inscrit dans un objectif d’amélioration des pratiques médicales pour répondre aux enjeux de santé publique. Elle vise à doter les cardiologues des compétences nécessaires pour un diagnostic précis, une prise en charge optimisée et une prévention des complications associées aux BAV, tout en réduisant les écarts entre les pratiques constatées et les recommandations scientifiques internationales.",E-learning,PI,AC,11,"589,00 €","157,50 €",François BOUVIER (https://www.notion.so/Fran-ois-BOUVIER-fa2add6955624e59a9ab5c6b5d3c78b5?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
"Trouble du spectre autistique chez l’enfant : repérage, diagnostic et accompagnement (https://www.notion.so/Trouble-du-spectre-autistique-chez-l-enfant-rep-rage-diagnostic-et-accompagnement-2091e0168e7080a88dd8c7dd75c56374?pvs=21)",94632425239,Masseur-kinésithérapeute (https://www.notion.so/Masseur-kin-sith-rapeute-7fd63965076f462cab24f32d4c890881?pvs=21),"Cette formation a été conçue pour permettre aux kinésithérapeutes libéraux d'intervenir dans le repérage, le suivi et l’accompagnement des enfants porteurs de TSA.
De nombreux enfants sont en errance diagnostique faute de professionnels formés, capables de les adresser de façon adéquate aux professionnels réalisant le diagnostic ou un suivi pluriprofessionnel. Cette formation va vous apporter un éclairage sur le TSA, sur l’accompagnement des enfants et de leur entourage familial et social, ainsi que des clés pratiques pour accueillir au cabinet un enfant ayant un TSA.Cette formation a été conçue pour permettre aux kinésithérapeutes libéraux d'intervenir dans le repérage, le suivi et l’accompagnement des enfants porteurs de TSA.
De nombreux enfants sont en errance diagnostique faute de professionnels formés, capables de les adresser de façon adéquate aux professionnels réalisant le diagnostic ou un suivi pluriprofessionnel. Cette formation va vous apporter un éclairage sur le TSA, sur l’accompagnement des enfants et de leur entourage familial et social, ainsi que des clés pratiques pour accueillir au cabinet un enfant ayant un TSA.",E-learning,EPP,AC,7,"239,40 €","133,00 €",Aude JASMIN  (https://www.notion.so/Aude-JASMIN-d2d7295a52404767872ef05b732dc69c?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,,,0,
Psoriasis : diagnostic et prise en charge (https://www.notion.so/Psoriasis-diagnostic-et-prise-en-charge-2091e0168e7080f7861bf3f9ad8dc52b?pvs=21),94632425238,Dermatologie et vénéréologie (https://www.notion.so/Dermatologie-et-v-n-r-ologie-227b9551cf484e86a4f734bdb4a40789?pvs=21),"La formation ""Psoriasis: diagnostic et prise en charge"" s'inscrit dans un paysage médical en constante évolution, où les dermatoses inflammatoires chroniques, telles que le psoriasis, sont au cœur des préoccupations sanitaires. L'avènement de nouvelles options thérapeutiques, incluant les biothérapies, enrichit l'arsenal disponible tout en préservant une place pour les traitements systémiques conventionnels. La compréhension approfondie des mécanismes physiopathologiques du psoriasis aujourd'hui permet une meilleure recherche de comorbidités, soulignant la nécessité d'une prise en charge globale et personnalisée du patient.
Cette formation se place dans un contexte où 2 à 4 % de la population française, soit 1,5 à 3 millions de personnes, sont touchées par le psoriasis. Cette pathologie dermatologique peut débuter à divers âges, avec une prévalence notable entre 20-30 ans et 50-60 ans. Bien que 80 % des cas soient considérés comme légers et peu étendus, 20 % des patients présentent des formes modérées à sévères, avec environ 15-20 % souffrant de rhumatisme psoriasique associé. Seulement 10 % des patients sont traités avec des thérapies systémiques, orales, injectables, ou par UV, soulignant l'importance d'une formation ciblée pour améliorer le diagnostic et la prise en charge.",E-learning,PI,AC,11,"589,00 €","157,50 €",Anne-Sophie DARRIGADE  (https://www.notion.so/Anne-Sophie-DARRIGADE-2125ae29e38143ca90882d4f78b7e87a?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Maintien de l’autonomie des séniors : l’approche kinésithérapique (https://www.notion.so/Maintien-de-l-autonomie-des-s-niors-l-approche-kin-sith-rapique-20a1e0168e7080de882ce4b50e3d8fa8?pvs=21),94632425265,Masseur-kinésithérapeute (https://www.notion.so/Masseur-kin-sith-rapeute-7fd63965076f462cab24f32d4c890881?pvs=21),"La part de la population française des personnes âgées de + de 60 ans  aujourd’hui représente 15 millions de personnes soit 26% de la population( + de ⅓ de population en 2050). L’ensemble des travaux prospectifs conduisent à anticiper une forte augmentation du nombre des malades au cours des prochaines années/ décennies, en lien notamment (mais pas uniquement) avec le vieillissement de la population. Cette évolution suppose la mobilisation de nombreux experts dont notamment les kinésithérapeutes. Nous avons un rôle essentiel pour repérer, mettre en place les moyens thérapeutiques nécessaires et  accompagner nos séniors dans le maintien de leur autonomie.",E-learning,EPP,AC,7,"239,40 €","133,00 €",Eloise FERRANTIN (https://www.notion.so/Eloise-FERRANTIN-848911e5be7b421a86803c79a23d01f6?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,,,0,
Lombalgie : prise en charge de la douleur aigüe chez la personne âgée (https://www.notion.so/Lombalgie-prise-en-charge-de-la-douleur-aig-e-chez-la-personne-g-e-20a1e0168e7080cd8373f39afc088ed7?pvs=21),94632425274,Masseur-kinésithérapeute (https://www.notion.so/Masseur-kin-sith-rapeute-7fd63965076f462cab24f32d4c890881?pvs=21),"La prise en charge de la douleur aiguë chez les personnes âgées nécessite une reconnaissance, une évaluation continue et une adaptation des soins en fonction des particularités de cette population. Ce besoin s'inscrit dans un contexte où le vieillissement de la population et la prévalence des douleurs chroniques chez les seniors impliquent des défis significatifs pour le système de santé. L'optimisation du parcours de soins et la médication appropriée sont cruciaux pour prévenir les risques de chronicisation et les effets secondaires graves liés notamment à l'usage du paracétamol et des opioïdes.",E-learning,FC,NA (FC),7,"199,50 €","0,00 €",Raphaël MICHELON  (https://www.notion.so/Rapha-l-MICHELON-66d34426821f4db6bfbe5064b806b955?pvs=21),GRAAD,Commercialisée,Formation Continue,Non présentiel,7,,,0,,,0,
Prise en charge des patients à risques médicaux et/ou vulnérables au cabinet dentaire (https://www.notion.so/Prise-en-charge-des-patients-risques-m-dicaux-et-ou-vuln-rables-au-cabinet-dentaire-2071e0168e7080efb494f332a4f08e86?pvs=21),94632425202,Chirurgie dentaire (omnipraticiens) (https://www.notion.so/Chirurgie-dentaire-omnipraticiens-c26f7078b2e0496c90e124ca9bad7436?pvs=21),"En cabinet libéral, le chirurgien-dentiste réalise quotidiennement des actes bucco-dentaires ou des prescriptions chez des patients dont le terrain peut être modifié par un état physiologique (grossesse, allaitement) ou altéré par une pathologie (cardiovasculaire, digestive, respiratoire, nerveuse) ou par un traitement (anticancéreux, antithrombotique). 
La sécurité de notre exercice repose par une maîtrise du contexte médical général et de ses conséquences directes ou indirectes sur la cavité buccale. 
Par conséquent, l’actualisation de ces connaissances médicales est d’autant plus nécessaire que les référentiels et autres recommandations de bonnes pratiques se multiplient au fil des années. L’évolution constante des thérapeutiques génère elle aussi l’apparition de « nouveaux» risques infectieux potentiels à identifier chez nos patients.",E-learning,FC,NA (FC),9,"297,00 €","0,00 €","Emmanuel GOUET  (https://www.notion.so/Emmanuel-GOUET-29df2d49d65c48af993987f8800a40dc?pvs=21), Maeva SINSAU (https://www.notion.so/Maeva-SINSAU-0c117e9639434b7ab1abb3f9006ed8c4?pvs=21)",GRAAD,Commercialisée,Formation Continue,Non présentiel,9,,,0,,,0,
Maladies Inflammatoires Chroniques Intestinales Pédiatriques (https://www.notion.so/Maladies-Inflammatoires-Chroniques-Intestinales-Pe-diatriques-20e1e0168e708001b7e3e923b36c7829?pvs=21),94632425255,Hépato-gastro-entérologie (https://www.notion.so/H-pato-gastro-ent-rologie-07a9c8f5768d488aa318425c64f2783e?pvs=21),"Les maladies inflammatoires chroniques intestinales (MICI) à début pédiatrique représentent 10 à 25% des MICI. Leur incidence a doublé de 1988 à 2011. Elles sont associées à une évolution plus sévère, à une atteinte plus étendue avec des complications telles que retard de croissance et pubertaire et à un recours à la chirurgie précoce : 50% des patients atteints de maladie de Crohn auront eu une résection chirurgicale étendue avant l’âge de 30 ans. L’objectif du traitement a évolué ces dernières années.
En effet, l’objectif actuellement n’est pas seulement d’obtenir une guérison des symptômes et une croissance normale, une amélioration de la qualité de vie, tout en évaluant bien la balance bénéfice-risque, mais bel et bien d’obtenir une cicatrisation muqueuse qui pourrait changer l’histoire naturelle de la maladie.",E-learning,PI,AC,11,"589,00 €","157,50 €",Christine MARTINEZ (https://www.notion.so/Christine-MARTINEZ-30d20807d4644a8fb736b008f4ae5720?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Modalités de collaboration entre ophtalmologistes et orthoptistes dans la prise en charge médicale et chirurgicale du strabisme chez l’enfant (https://www.notion.so/Modalit-s-de-collaboration-entre-ophtalmologistes-et-orthoptistes-dans-la-prise-en-charge-m-dicale-e-20e1e0168e7080a18a19f352eae98293?pvs=21),94632525407,Ophtalmologie (https://www.notion.so/Ophtalmologie-9c7c61a4ec3048f39667de6a90abd6ae?pvs=21),"Le strabisme chez l’enfant constitue une priorité de santé publique, notamment en raison des risques de complications comme l’amblyopie fonctionnelle ou organique, qui peuvent affecter le développement visuel optimal. Le dépistage précoce, idéalement avant l’âge de 6 ans, permet de prévenir la perte de vision binoculaire et les troubles associés. Or, les ophtalmologistes éprouvent parfois des réticences à prendre en charge ces jeunes patients en raison de la complexité de la pathologie et du risque de méconnaissance d’autres affections oculaires pédiatriques. 
Ce contexte exige une collaboration renforcée entre ophtalmologistes et orthoptistes pour optimiser le diagnostic, le suivi et le traitement chirurgical ou non-chirurgical des enfants atteints de strabisme, en respectant les champs de compétences de chacun. Cette formation a pour but d’améliorer les pratiques collaboratives et d’accroître les compétences spécifiques à la prise en charge du strabisme pédiatrique, afin de garantir un meilleur accès aux soins adaptés pour tous les ",E-learning,PI,AC,11,"589,00 €","157,50 €",Ludovic N’KOSI  (https://www.notion.so/Ludovic-N-KOSI-1051e0168e7080d68221c82828b71884?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Télémédecine : Qualité et sécurité des pratiques illustrées par des cas d'usage (https://www.notion.so/T-l-m-decine-Qualit-et-s-curit-des-pratiques-illustr-es-par-des-cas-d-usage-20e1e0168e7080dbbf9bf2bb03666794?pvs=21),94632425247,"Allergologie (https://www.notion.so/Allergologie-e32fb0569c264d66812408d8b6d1e79b?pvs=21), Anesthésie-réanimation (https://www.notion.so/Anesth-sie-r-animation-431aee497624405fb2a527081ba3d867?pvs=21), Dermatologie et vénéréologie (https://www.notion.so/Dermatologie-et-v-n-r-ologie-227b9551cf484e86a4f734bdb4a40789?pvs=21), Endocrinologie-diabétologie-nutrition (https://www.notion.so/Endocrinologie-diab-tologie-nutrition-4c46ee162369426888a15b0f8cca5dfd?pvs=21), Gynécologie médicale (https://www.notion.so/Gyn-cologie-m-dicale-c82b31844562493f997f6ba6d2f765a6?pvs=21), Gériatrie / Gérontologie (https://www.notion.so/G-riatrie-G-rontologie-8134de7c2adc4d069a0b813e6f873fab?pvs=21), Hépato-gastro-entérologie (https://www.notion.so/H-pato-gastro-ent-rologie-07a9c8f5768d488aa318425c64f2783e?pvs=21), Maladies infectieuses et tropicales (https://www.notion.so/Maladies-infectieuses-et-tropicales-2917413124064a0e818b62f1f1480034?pvs=21), Médecine cardiovasculaire (https://www.notion.so/M-decine-cardiovasculaire-1e3ff6f1b7514325ab28d32cc9400a9f?pvs=21), Médecine d'urgence (https://www.notion.so/M-decine-d-urgence-af43124a34794b208adcecb2d45a45a7?pvs=21), Médecine vasculaire (https://www.notion.so/M-decine-vasculaire-b50f1efe5df640b68c7afd2dc0c2fbb1?pvs=21), Médecine physique et de réadaptation (https://www.notion.so/M-decine-physique-et-de-r-adaptation-af79b6c973a4432098520cc3b7ef71e1?pvs=21), Médecine interne et immunologie clinique (https://www.notion.so/M-decine-interne-et-immunologie-clinique-a15af2a0ba584d6587d516303550cf1d?pvs=21), Neurologie (https://www.notion.so/Neurologie-ef9a8f3374544bbcbbc2339a753b7a7b?pvs=21), Néphrologie (https://www.notion.so/N-phrologie-b167b9829666498e8d850b70167d3c79?pvs=21), Oncologie (https://www.notion.so/Oncologie-8d910954f4bc4e66a36f1ef51657f2f0?pvs=21), Pneumologie (https://www.notion.so/Pneumologie-1fe9bdaca6034bd684a3e8b4a24f1cc6?pvs=21), Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21), Pédiatrie (https://www.notion.so/P-diatrie-63878eb075064206871eaa41b3f97bea?pvs=21), Radiologie et imagerie médicale (https://www.notion.so/Radiologie-et-imagerie-m-dicale-8f3e408129064c5486eac57ed2b4327d?pvs=21), Rhumatologie (https://www.notion.so/Rhumatologie-02f8e508cfd54a35bfd3a711395f837f?pvs=21), Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21), Gynécologie obstétrique (https://www.notion.so/Gyn-cologie-obst-trique-2251e0168e7080c4ba59fd0ee4c00bd5?pvs=21)","Deux pratiques de télémédecine : la téléconsultation et la téléexpertise, sont désormais financées dans le droit commun de la sécurité sociale, depuis respectivement le 15 septembre 2018 et le 10 février 2019.
Si la mise en œuvre de ces nouvelles pratiques de médecine libérale n’a connu dans un premier temps qu’un succès mitigé, le confinement généralisé de 2 mois imposé en mars 2020 par la pandémie Covid-19, a contribué à l’essor des actes de téléconsultations destinés à garantir le maintien d’un accès aux soins des personnes confinées.
Près de 20 millions de téléconsultations ont été réalisées en 2020, 16 millions en 2021 et environ 12 millions en 2022.
De nombreux médecins n’étaient pas préparés à l’introduction de ces nouveaux dispositifs dans leurs pratiques professionnelles quotidiennes. Malgré un avis parfois mitigé, ceux qui avaient été formés à la télémédecine avant la pandémie se sont cependant déclarés plus à l’aise au cours de cette période.
Dans le registre des pratiques professionnelles en médecine libérale, la nécessité d’une formation aux techniques de télémédecine est l’un des principaux enseignements de la période Covid-19.",E-learning,PI,AC,11,"589,00 €","157,50 €",Pierre SIMON (https://www.notion.so/Pierre-SIMON-50544e696ab34e4cb876fdb449fe5edc?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Repérage et prise en charge du risque cardio-vasculaire  (https://www.notion.so/Rep-rage-et-prise-en-charge-du-risque-cardio-vasculaire-20e1e0168e7080d2a238c8c87496ae43?pvs=21),94632425351,Médecine cardiovasculaire (https://www.notion.so/M-decine-cardiovasculaire-1e3ff6f1b7514325ab28d32cc9400a9f?pvs=21),"Les maladies cardiovasculaires représentent la deuxième cause de mortalité en France, causant plus de 140 000 décès par an. Avec environ 400 décès quotidiens, elles affectent 1 million de personnes souffrant d'insuffisance cardiaque et provoquent environ 100 000 infarctus du myocarde chaque année, dont 12 000 sont fatals. Ces maladies sont la principale cause de décès chez les femmes, qui ont quatre fois plus de risque de mourir de ces pathologies que d'un cancer du sein. De plus, la mortalité par arrêt cardiaque reste supérieure à 95%. Les inégalités sociales et territoriales jouent un rôle significatif, influençant l'accès aux soins et la prévention. Le coût des maladies cardiovasculaires s'élève à 17,9 milliards d'euros. En France, plus de 5 millions de personnes sont prises en charge pour une maladie cardio- ou neurovasculaire, et plus de 10 millions reçoivent un traitement préventif pour le risque cardiovasculaire ou le diabète.
La gestion du risque cardiovasculaire implique de nombreux facteurs modifiables, tels que le mode de vie (alimentation, activité physique, tabagisme etc…) et les facteurs métaboliques (hypertension, hyperglycémie, hyperlipidémie, excès de poids). Une approche intégrée est nécessaire pour analyser et personnaliser le risque de chaque patient, incluant les habitudes de vie, les facteurs de risque métaboliques et personnels, et les antécédents médicaux. Cette approche permet une décision partagée et une personnalisation des stratégies thérapeutiques, incluant des interventions sur le mode de vie et des traitements pharmacologiques, tout en évaluant la polymédication. Il est crucial de s'appuyer sur des ressources innovantes, des collaborations pluri-professionnelles et des outils numériques pour optimiser la prise en charge du risque cardiovasculaire global.",E-learning,PI,AC,11,"589,00 €","157,50 €",Vincent PHAM (https://www.notion.so/Vincent-PHAM-ae0867ac1a734faab7f62a8c03251993?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Diagnostic et prise en charge de la dépression du sujet âgé (https://www.notion.so/Diagnostic-et-prise-en-charge-de-la-d-pression-du-sujet-g-20e1e0168e7080ae9acdd3256711a0bf?pvs=21),94632425369,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"La dépression chez les personnes âgées est une pathologie courante, souvent méconnue et sous-diagnostiquée, en particulier en raison de ses symptômes qui peuvent être confondus avec les effets normaux du vieillissement. Elle touche environ 20 % des personnes âgées, avec une incidence particulièrement élevée chez celles résidant en institution. Souvent associée à d’autres problématiques physiques et psychosociales, la dépression du sujet âgé peut se manifester par des troubles cognitifs, des plaintes somatiques, des pertes d’intérêt et des sentiments de désespoir. Cependant, ces signes cliniques sont fréquemment interprétés comme des manifestations normales de l’âge ou des réactions compréhensibles à des circonstances difficiles, ce qui retarde la prise en charge.
Les origines de la dépression chez les aînés sont multiples et intriquées, incluant les comorbidités somatiques, telles que les douleurs chroniques, les maladies cardiovasculaires, la maladie d’Alzheimer ou d’autres troubles neurodégénératifs. D’autres facteurs de vulnérabilité incluent la perte d’autonomie, l’isolement, le veuvage, les transitions majeures comme le départ du domicile, les maltraitances, ainsi que les effets secondaires de certains médicaments. La consommation d’alcool, parfois utilisée pour atténuer les sentiments de dépression, peut également aggraver ces symptômes. De plus, la stigmatisation entourant les troubles de santé mentale et la croyance que la dépression est une réaction normale au vieillissement découragent souvent les personnes âgées de demander de l’aide.
Les conséquences de la dépression non traitée chez les sujets âgés sont sévères. Non seulement elle altère profondément la qualité de vie et l’autonomie des patients, mais elle est également la principale cause de suicide dans cette tranche d’âge, avec un risque suicidaire jusqu’à cinq fois supérieur à celui des plus jeunes. Les professionnels de santé jouent un rôle clé dans le dépistage et la prise en charge de cette pathologie, en raison du manque d’initiative des patients eux-mêmes pour rechercher de l’aide.
Les traitements de la dépression chez le sujet âgé doivent être adaptés aux particularités de cette population. Outre les antidépresseurs, une prise en charge personnalisée et multidisciplinaire est souvent nécessaire, combinant soutien psychologique, sociothérapie et thérapeutiques non médicamenteuses pour optimiser les résultats. Une sensibilisation accrue aux signes spécifiques et atypiques de la dépression, ainsi qu’une formation des médecins psychiatres à des stratégies de prise en charge adaptées, sont essentielles pour répondre aux besoins complexes de cette population vulnérable.",E-learning,PI,AC,11,"589,00 €","157,50 €",Céline CANDILLIER (https://www.notion.so/C-line-CANDILLIER-11b1e0168e7080bab8ddfca99d557698?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Pemphigoïde Bulleuse : diagnostic et prise en charge (https://www.notion.so/Pemphigo-de-Bulleuse-diagnostic-et-prise-en-charge-20e1e0168e7080cbaf7be4d4e691dda4?pvs=21),94632325016,Dermatologie et vénéréologie (https://www.notion.so/Dermatologie-et-v-n-r-ologie-227b9551cf484e86a4f734bdb4a40789?pvs=21),"La pemphigoïde Bulleuse (PB) est la plus fréquente des maladies bulleuses auto immunes. Son incidence est particulièrement élevée chez les sujets âgés. Elle doit être évoquée devant l’apparition de grosses bulles tendues associées à des lésions urticariennes, mais également devant des formes atypiques de plus en plus fréquemment reconnues, voire en cas de prurit sans étiologie évidente. Son traitement repose sur la corticothérapie locale forte ou plus rarement sur une corticothérapie générale dont la mise en place et le suivi nécessite une évaluation précise de la sévérité des lésions, des comorbidités du patients et qui repose sur une collaboration impliquant le patient et sa famille, le médecin traitant, le dermatologue, et les infirmières réalisant les soins. ",E-learning,PI,AC,11,"570,00 €","112,50 €",Pascal JOLY (https://www.notion.so/Pascal-JOLY-6ea60f85626746d18c1dbb021c66e7e8?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,3,Formation Continue,Non présentiel,6,Evaluation des pratiques professionnelles,Non présentiel,2,
Prise en charge médicamenteuse de l’insuffisance cardiaque chez le sujet âgé  (https://www.notion.so/Prise-en-charge-m-dicamenteuse-de-l-insuffisance-cardiaque-chez-le-sujet-g-20e1e0168e7080f1934fc8010c26232e?pvs=21),94632425327,Médecine cardiovasculaire (https://www.notion.so/M-decine-cardiovasculaire-1e3ff6f1b7514325ab28d32cc9400a9f?pvs=21),"L’insuffisance cardiaque (IC) est une pathologie chronique grave et particulièrement prévalente chez les personnes âgées. En France, près de 2,3 % de la population adulte est affectée, avec plus d’un million de personnes souffrant de cette maladie et 120 000 nouveaux cas diagnostiqués chaque année. La mortalité à un an est comparable à celle de certains cancers, avec des taux de 14 % pour les hommes et 11 % pour les femmes. Les hospitalisations sont fréquentes, avec 165 000 admissions annuelles, et 25 % des patients étant ré-hospitalisés dans les trois mois. Le vieillissement de la population et l’amélioration de la prise en charge d’autres pathologies cardiaques contribuent à l’augmentation de la prévalence de l’IC. L’impact économique est significatif, avec des coûts de remboursement atteignant 1,6 milliard d’euros en 2007. Les recommandations de la Société Européenne de Cardiologie publiées en 2021 soulignent l’importance d’une mise à jour des pratiques diagnostiques et thérapeutiques. La formation vise à améliorer la connaissance et l’application de ces recommandations parmi les cardiologues, particulièrement pour la prise en charge des personnes âgées, une population souvent plus vulnérable et aux besoins spécifiques.",E-learning,PI,AC,11,"589,00 €","157,50 €",Vincent PHAM (https://www.notion.so/Vincent-PHAM-ae0867ac1a734faab7f62a8c03251993?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
